"fips","year","med_rent_2br"
"01073","2009",757
"01073","2010",797
"01073","2011",832
"01073","2012",813
"01073","2013",857
"01073","2014",811
"01073","2015",844
"01073","2016",914
"01073","2017",937
"01073","2018",955
"01075","2007",453
"01075","2008",481
"01075","2009",514
"01075","2010",536
"01075","2011",536
"01075","2012",499
"01075","2013",553
"01075","2014",566
"01075","2015",599
"01075","2016",569
"01075","2017",621
"01075","2018",606
"01077","2007",540
"01077","2008",575
"01077","2009",614
"01077","2010",640
"01077","2011",639
"01077","2012",623
"01077","2013",609
"01077","2014",663
"01077","2015",649
"01077","2016",653
"01077","2017",713
"01077","2018",713
"01079","2007",527
"01079","2008",561
"01079","2009",600
"01079","2010",625
"01079","2011",625
"01079","2012",616
"01079","2013",655
"01079","2014",637
"01079","2015",709
"01079","2016",666
"01079","2017",678
"01079","2018",703
"01081","2007",589
"01081","2008",627
"01081","2009",670
"01081","2010",698
"01081","2011",698
"01081","2012",748
"01081","2013",702
"01081","2014",781
"01081","2015",867
"01081","2016",799
"01081","2017",859
"01081","2018",889
"01083","2007",604
"01083","2008",645
"01083","2009",689
"01083","2010",718
"01083","2011",718
"01083","2012",712
"01083","2013",701
"01083","2014",738
"01083","2015",764
"01083","2016",782
"01083","2017",800
"01083","2018",768
"01085","2007",667
"01085","2008",708
"01085","2009",757
"01085","2010",788
"01085","2011",788
"01085","2012",781
"01085","2013",860
"01085","2014",761
"01085","2015",845
"01085","2016",840
"01085","2017",886
"01085","2018",890
"01087","2007",497
"01087","2008",527
"01087","2009",563
"01087","2010",587
"01087","2011",587
"01087","2012",618
"01087","2013",745
"01087","2014",633
"01087","2015",624
"01087","2016",597
"01087","2017",621
"01087","2018",634
"01089","2007",604
"01089","2008",645
"01089","2009",689
"01089","2010",718
"01089","2011",718
"01089","2012",712
"01089","2013",701
"01089","2014",738
"01089","2015",764
"01089","2016",782
"01089","2017",800
"01089","2018",768
"01091","2007",491
"01091","2008",522
"01091","2009",558
"01091","2010",581
"01091","2011",580
"01091","2012",518
"01091","2013",607
"01091","2014",595
"01091","2015",599
"01091","2016",569
"01091","2017",621
"01091","2018",606
"01093","2007",453
"01093","2008",481
"01093","2009",514
"01093","2010",536
"01093","2011",536
"01093","2012",499
"01093","2013",482
"01093","2014",566
"01093","2015",599
"01093","2016",569
"01093","2017",621
"01093","2018",606
"01095","2007",511
"01095","2008",542
"01095","2009",580
"01095","2010",604
"01095","2011",603
"01095","2012",540
"01095","2013",712
"01095","2014",602
"01095","2015",613
"01095","2016",620
"01095","2017",644
"01095","2018",655
"01097","2007",629
"01097","2008",669
"01097","2009",715
"01097","2010",744
"01097","2011",744
"01097","2012",771
"01097","2013",823
"01097","2014",832
"01097","2015",829
"01097","2016",847
"01097","2017",954
"01097","2018",901
"01099","2007",453
"01099","2008",481
"01099","2009",514
"01099","2010",536
"01099","2011",536
"01099","2012",499
"01099","2013",560
"01099","2014",576
"01099","2015",599
"01099","2016",569
"01099","2017",621
"01099","2018",606
"01101","2007",667
"01101","2008",708
"01101","2009",757
"01101","2010",788
"01101","2011",788
"01101","2012",781
"01101","2013",860
"01101","2014",761
"01101","2015",845
"01101","2016",840
"01101","2017",886
"01101","2018",890
"01103","2007",527
"01103","2008",561
"01103","2009",600
"01103","2010",625
"01103","2011",625
"01103","2012",616
"01103","2013",655
"01103","2014",637
"01103","2015",709
"01103","2016",666
"01103","2017",678
"01103","2018",703
"01105","2007",491
"01105","2008",522
"01105","2009",558
"01105","2010",581
"01105","2011",580
"01105","2012",499
"01105","2013",554
"01105","2014",566
"01105","2015",599
"01105","2016",569
"01105","2017",621
"01105","2018",606
"01107","2007",453
"01107","2008",481
"01107","2009",514
"01107","2010",536
"01107","2011",536
"01107","2012",542
"01107","2013",633
"01107","2014",593
"01107","2015",600
"01107","2016",588
"01107","2017",621
"01107","2018",606
"01109","2007",453
"01109","2008",481
"01109","2009",514
"01109","2010",536
"01109","2011",536
"01109","2012",526
"01109","2013",624
"01109","2014",598
"01109","2015",656
"01109","2016",628
"01109","2017",707
"01109","2018",669
"01111","2007",486
"01111","2008",517
"01111","2009",552
"01111","2010",575
"01111","2011",575
"01111","2012",524
"01111","2013",678
"01111","2014",650
"01111","2015",656
"01111","2016",615
"01111","2017",717
"01111","2018",682
"01113","2007",625
"01113","2008",680
"01113","2009",703
"01113","2010",728
"01113","2011",721
"01113","2012",726
"01113","2013",806
"01113","2014",764
"01113","2015",817
"01113","2016",848
"01113","2017",841
"01113","2018",891
"01115","2007",619
"01115","2008",749
"01115","2009",757
"01115","2010",797
"01115","2011",832
"01115","2012",813
"01115","2013",857
"01115","2014",811
"01115","2015",844
"01115","2016",914
"01115","2017",937
"01115","2018",955
"01117","2007",619
"01117","2008",749
"01117","2009",757
"01117","2010",797
"01117","2011",832
"01117","2012",813
"01117","2013",857
"01117","2014",811
"01117","2015",844
"01117","2016",914
"01117","2017",937
"01117","2018",955
"01119","2007",453
"01119","2008",481
"01119","2009",514
"01119","2010",536
"01119","2011",536
"01119","2012",573
"01119","2013",647
"01119","2014",566
"01119","2015",661
"01119","2016",714
"01119","2017",758
"01119","2018",747
"01121","2007",493
"01121","2008",525
"01121","2009",561
"01121","2010",584
"01121","2011",583
"01121","2012",556
"01121","2013",584
"01121","2014",601
"01121","2015",654
"01121","2016",620
"01121","2017",716
"01121","2018",661
"01123","2007",474
"01123","2008",504
"01123","2009",538
"01123","2010",560
"01123","2011",560
"01123","2012",500
"01123","2013",593
"01123","2014",607
"01123","2015",622
"01123","2016",595
"01123","2017",658
"01123","2018",638
"01125","2007",642
"01125","2008",684
"01125","2009",731
"01125","2010",762
"01125","2011",761
"01125","2012",796
"01125","2013",831
"01125","2014",868
"01125","2015",808
"01125","2016",858
"01125","2017",831
"01125","2018",859
"01127","2007",461
"01127","2008",557
"01127","2009",595
"01127","2010",627
"01127","2011",627
"01127","2012",599
"01127","2013",597
"01127","2014",588
"01127","2015",668
"01127","2016",682
"01127","2017",689
"01127","2018",697
"01129","2007",453
"01129","2008",481
"01129","2009",514
"01129","2010",536
"01129","2011",536
"01129","2012",506
"01129","2013",557
"01129","2014",604
"01129","2015",599
"01129","2016",678
"01129","2017",669
"01129","2018",686
"01131","2007",453
"01131","2008",481
"01131","2009",514
"01131","2010",536
"01131","2011",536
"01131","2012",499
"01131","2013",575
"01131","2014",626
"01131","2015",599
"01131","2016",569
"01131","2017",621
"01131","2018",606
"01133","2007",458
"01133","2008",487
"01133","2009",520
"01133","2010",542
"01133","2011",541
"01133","2012",499
"01133","2013",529
"01133","2014",566
"01133","2015",599
"01133","2016",569
"01133","2017",621
"01133","2018",606
"02013","2007",1123
"02013","2008",1222
"02013","2009",1252
"02013","2010",1313
"02013","2011",1278
"02013","2012",584
"02013","2013",900
"02013","2014",807
"02013","2015",919
"02013","2016",986
"02013","2017",1128
"02013","2018",1107
"02016","2007",1123
"02016","2008",1222
"02016","2009",1252
"02016","2010",1313
"02016","2011",1278
"02016","2012",1526
"02016","2013",1654
"02016","2014",1509
"02016","2015",1562
"02016","2016",1598
"02016","2017",1803
"02016","2018",1779
"02020","2007",989
"02020","2008",975
"02020","2009",1037
"02020","2010",1080
"02020","2011",1085
"02020","2012",1056
"02020","2013",1156
"02020","2014",1219
"02020","2015",1283
"02020","2016",1378
"02020","2017",1374
"02020","2018",1417
"02050","2007",1324
"02050","2008",1440
"02050","2009",1476
"02050","2010",1548
"02050","2011",1507
"02050","2012",1433
"02050","2013",1611
"02050","2014",1322
"02050","2015",1410
"02050","2016",1530
"02050","2017",1609
"02050","2018",1630
"02060","2007",1123
"02060","2008",1222
"02060","2009",1252
"02060","2010",1313
"02060","2011",1278
"02060","2012",997
"02060","2013",1117
"02060","2014",1118
"02060","2015",1220
"02060","2016",1263
"02060","2017",1315
"02060","2018",1317
"02068","2007",956
"02068","2008",1037
"02068","2009",1062
"02068","2010",1114
"02068","2011",1084
"02068","2012",1092
"02068","2013",1176
"02068","2014",637
"02068","2015",1389
"02068","2016",1292
"02068","2017",1723
"02068","2018",1520
"02070","2007",1123
"02070","2008",1222
"02070","2009",1252
"02070","2010",1313
"02070","2011",1278
"02070","2012",1001
"02070","2013",1218
"02070","2014",1113
"02070","2015",1132
"02070","2016",1161
"02070","2017",1374
"02070","2018",1356
"02090","2007",901
"02090","2008",982
"02090","2009",1006
"02090","2010",1055
"02090","2011",1027
"02090","2012",1074
"02090","2013",1245
"02090","2014",1407
"02090","2015",1476
"02090","2016",1305
"02090","2017",1341
"02090","2018",1449
"02100","2007",956
"02100","2008",1037
"02100","2009",1062
"02100","2010",1114
"02100","2011",1084
"02100","2012",733
"02100","2013",911
"02100","2014",955
"02100","2015",937
"02100","2016",927
"02100","2017",1037
"02100","2018",1014
"02105","2011",1278
"02105","2012",1005
"02105","2013",991
"02105","2014",763
"02105","2015",786
"02105","2016",819
"02105","2017",892
"02105","2018",871
"02110","2007",1150
"02110","2008",1250
"02110","2009",1282
"02110","2010",1344
"02110","2011",1308
"02110","2012",1206
"02110","2013",1399
"02110","2014",1299
"02110","2015",1348
"02110","2016",1412
"02110","2017",1571
"02110","2018",1514
"02122","2007",764
"02122","2008",830
"02122","2009",851
"02122","2010",892
"02122","2011",869
"02122","2012",815
"02122","2013",942
"02122","2014",872
"02122","2015",940
"02122","2016",1052
"02122","2017",1195
"02122","2018",1154
"02130","2007",1025
"02130","2008",1113
"02130","2009",1140
"02130","2010",1195
"02130","2011",1163
"02130","2012",1006
"02130","2013",1173
"02130","2014",1069
"02130","2015",1168
"02130","2016",1261
"02130","2017",1398
"02130","2018",1355
"02150","2007",1136
"02150","2008",1237
"02150","2009",1268
"02150","2010",1329
"02150","2011",1294
"02150","2012",1003
"02150","2013",1122
"02150","2014",1089
"02150","2015",1065
"02150","2016",1033
"02150","2017",1320
"02150","2018",1258
"02158","2018",994
"02164","2007",1123
"02164","2008",1222
"02164","2009",1252
"02164","2010",1313
"02164","2011",1278
"02164","2012",693
"02164","2013",841
"02164","2014",766
"02164","2015",794
"02164","2016",920
"02164","2017",952
"02164","2018",947
"02170","2007",815
"02170","2008",899
"02170","2009",956
"02170","2010",1003
"02170","2011",1007
"02170","2012",943
"02170","2013",1055
"02170","2014",1131
"02170","2015",1063
"02170","2016",1062
"02170","2017",1100
"02170","2018",1167
"02180","2007",1125
"02180","2008",1224
"02180","2009",1254
"02180","2010",1315
"02180","2011",1280
"02180","2012",1317
"02180","2013",1562
"02180","2014",1421
"02180","2015",1436
"02180","2016",1547
"02180","2017",1752
"02180","2018",1689
"02185","2007",1235
"02185","2008",1345
"02185","2009",1379
"02185","2010",1446
"02185","2011",1407
"02185","2012",1053
"02185","2013",1214
"02185","2014",1023
"02185","2015",1272
"02185","2016",1016
"02185","2017",1330
"02185","2018",1306
"02188","2007",1123
"02188","2008",1222
"02188","2009",1252
"02188","2010",1313
"02188","2011",1278
"02188","2012",1191
"02188","2013",1317
"02188","2014",1276
"02188","2015",1386
"02188","2016",1327
"02188","2017",1415
"02188","2018",1428
"02195","2011",1278
"02195","2012",1096
"02195","2013",1006
"02195","2014",838
"02195","2015",1001
"02195","2016",1066
"02195","2017",1099
"02195","2018",1123
"02198","2011",1278
"02198","2012",811
"02198","2013",957
"02198","2014",826
"02198","2015",979
"02198","2016",981
"02198","2017",1144
"02198","2018",1101
"02201","2007",1123
"02201","2008",1222
"02201","2009",1252
"02201","2010",1313
"02220","2007",1008
"02220","2008",1095
"02220","2009",1122
"02220","2010",1176
"02220","2011",1145
"02220","2012",1059
"02220","2013",1315
"02220","2014",1229
"02220","2015",1220
"02220","2016",1272
"02220","2017",1370
"02220","2018",1344
"02230","2011",1278
"02230","2012",1049
"02230","2013",1197
"02230","2014",1194
"02230","2015",1244
"02230","2016",1308
"02230","2017",1555
