"year","fips","total_population","land_area","pop_density","pop_65_74","pop_75_84","pop_85_up","black_pop","hispanic_pop","hh_inc","gini3","home_value","poor_renter_units","no_burden_info4","pov_universe","extreme_pov_pop","pov_pop","owner_units","burdened_owners1","burdened_owners2","poor_burdened_renters","renter_units","burdened_renters"
"2007","06087",251747,565.41689141724,445.241385288272,13305,9265,3753,1640,72453,63778,0.462999999523163,756800,7559,1170,243081,10913,24551,55748,25804,21490,6880,36503,20614
"2007","06089",179427,47.4023169716801,3785.19472175161,13652,9276,3975,1541,,41901,0.448000013828278,255500,6882,1629,176751,8183,22551,44423,16860,15990,6064,23131,12283
"2007","06095",408599,492.768809929292,829.190061884457,23538,15523,5264,61788,89728,66880,0.398999989032745,479500,9970,1986,395011,16419,37888,90775,39301,31024,9134,42363,25284
"2007","06097",464435,294.715013222476,1575.87832028565,27687,21895,10278,5562,104862,62399,0.437999993562698,613900,12981,3631,458094,18650,40761,109636,48612,38046,11628,63960,33497
"2007","06099",511263,342.258800391514,1493.79066196446,27201,18534,6833,14453,199543,50616,0.42399999499321,358500,16934,2331,503706,30068,67803,100171,46192,33538,15885,54021,29639
"2007","06101",92040,152.752508115555,602.543297884006,5951,4047,1337,1421,24985,51382,0.419999986886978,292700,2762,347,91464,3690,9051,20647,8065,6686,2624,10098,4719
"2007","06107",421553,87.3871922189018,4823.96778402062,20772,13098,6048,7086,239066,40595,0.451999992132187,235100,15033,2496,415546,37044,98497,72095,28011,21588,13362,46988,23345
"2007","06111",798364,432.647488574336,1845.29905080641,47190,29305,12659,14744,296745,73250,0.432000011205673,641300,13216,3969,789366,21064,67077,172439,75320,66480,11760,77928,42141
"2007","06113",195844,193.279655881364,1013.26753251366,9540,5711,2780,4904,54767,59384,0.451999992132187,444100,8204,1161,189338,13916,27910,37899,13059,9006,7244,29106,15654
"2007","06115",72098,114.315389217661,630.693736804958,3194,2068,866,1359,16245,42712,0.428999990224838,284100,3624,682,70330,5681,14935,13169,5200,2944,2813,10300,5707
"2007","08001",422495,354.462987262312,1191.92980701069,19646,10351,3481,12854,148908,52110,0.40200001001358,199900,11405,815,417398,29139,57945,102765,41900,28696,10619,41143,19878
"2007","08005",545089,678.693548466163,803.144513796975,29722,18030,7535,53233,93230,58795,0.448000013828278,235500,17257,1571,537845,29774,64610,139645,44397,27112,16278,65703,34007
"2007","08013",290262,390.946248646379,742.460123367367,13610,7229,3019,1577,38124,63257,0.483000010251999,342400,10395,1264,281474,17221,36137,75062,21705,14518,9584,36725,21102
"2007","08031",588349,3836.62686864171,153.350591585753,29504,21601,10134,57923,202232,44444,0.513999998569489,234500,36256,2409,578432,44175,102292,137202,50656,35552,31027,101962,49682
"2007","08035",272117,323.905621609734,840.112001291126,9508,4166,1086,5067,19202,92824,0.375999987125397,337700,1205,189,271468,2448,4944,78089,23182,13794,1205,16526,5427
"2007","08041",587272,276.174992355828,2126.44886848897,30718,17391,6757,37151,77252,55210,0.421999990940094,215100,18337,2088,572022,25445,57352,148658,46886,31562,17552,65492,31550
"2007","08059",529354,685.608249577133,772.093976883291,33872,19050,6988,7274,72504,64416,0.41499999165535,255200,12939,1541,521608,24105,44022,156445,47429,29040,12369,55839,24957
"2007","08069",287574,110.550084133875,2601.30059830393,15815,11054,3532,2853,28164,52046,0.446000009775162,240100,11731,1225,281075,17116,36126,78737,26096,17210,10363,32692,18756
"2007","08077",139082,41.7946572552428,3327.7459161973,10225,7818,3237,1072,16193,50954,0.44200000166893,225000,5190,467,137548,9270,17281,39849,10705,6108,4785,14248,6879
"2007","08101",154538,64.6957888695241,2388.68715723779,10814,9562,2669,2595,60039,41564,0.437000006437302,139500,7410,624,150959,11434,27402,42936,13213,8736,6568,14958,8048
"2007","08123",243750,61.0527837536054,3992.44694531403,10793,6908,1716,1026,66845,52133,0.428999990224838,197300,7276,2082,237907,14142,28833,59418,22320,12722,5564,22705,10685
"2007","09001",895015,1430.18865237628,625.802056611845,58829,39910,18090,90344,133198,80241,0.533999979496002,499000,20172,3238,873117,25606,57807,231927,91456,61608,16724,87287,46429
"2007","09003",876824,1192.24458931856,735.439697404003,58621,43770,21239,106898,117533,61096,0.456000000238419,247100,33960,5245,851053,34058,80715,224197,73533,38742,29244,105819,52059
"2007","09005",188273,204.661931671853,919.921934001239,13233,8254,5588,2128,,68407,0.419999986886978,305400,4845,1560,185127,3548,9741,57977,20340,10676,4118,13933,6664
"2007","09007",164150,444.534468512118,369.262704305966,11087,6955,4776,6964,,72251,0.409999996423721,309300,2847,1160,159257,2826,7569,48530,15712,9000,2511,14820,5656
"2007","09009",845494,1396.03783353858,605.638314154351,54363,40318,21530,101621,107913,59916,0.455000013113022,280200,30755,4669,816804,38630,78838,214550,80106,47260,26615,98977,53451
"2007","09011",267376,401.51678156557,665.91488145891,17324,12989,4747,14403,16915,61044,0.414000004529953,273600,7904,886,254076,6582,16623,72652,23482,11800,6387,29308,13793
"2007","09013",148139,361.252177271151,410.070884884409,8478,5740,1728,4077,5308,75497,0.395000010728836,256100,3899,281,134112,4303,8947,40944,12301,5808,3386,11831,5891
"2007","09015",117038,228.254060793273,512.753199628724,6753,4634,2504,1966,,58594,0.388999998569489,231100,3281,638,113978,4730,8640,31585,10549,4786,2296,11237,4129
"2007","10001",152255,258.181290407454,589.721275928692,10549,6066,2603,33740,6380,46788,0.430999994277954,205700,5051,1071,147213,10991,18618,39572,13718,9244,4289,15633,8714
"2007","10003",528218,1239.17516201315,426.265806636942,32570,20200,8528,117755,37862,59600,0.43299999833107,252200,13445,3050,509609,25959,52638,139494,39003,22644,11440,52115,26446
"2007","10005",184291,196.560943757711,937.576898425784,18618,13393,4554,24187,,50976,0.421000003814697,232200,5014,2895,181675,6419,16700,57257,17168,10758,4196,14291,6840
"2007","11001",588292,9580.79512167774,61.4032543780126,36283,23576,10405,321646,49016,54317,0.541999995708466,450900,36850,4503,559557,47350,91934,111240,36530,26544,30211,131586,63735
"2007","12001",240082,274.61630627266,874.245245151715,12639,8088,3531,46553,17474,37286,0.532999992370605,202100,16032,1970,229828,35403,54139,52823,16470,12716,14890,37974,23382
"2007","12005",163984,214.729202930012,763.678147929643,13489,7073,2389,18811,,48985,0.414000004529953,185900,3820,2387,159305,6628,17509,48798,14993,8552,3673,20022,7653
"2007","12009",536161,526.582870661398,1018.18921554849,52977,40555,14398,54672,36992,50354,0.451999992132187,202600,12383,2712,526546,19655,43486,166220,60233,40616,11361,46679,25286
"2007","12011",1759591,1459.76182652556,1205.39595434419,113372,95899,42445,427008,411769,52670,0.465000003576279,302500,42328,9058,1744267,78632,197505,471232,231769,184448,40709,173265,103232
"2007","12015",152814,220.318857093082,693.603815925016,19836,19345,6993,7641,,46707,0.398999989032745,199100,2329,367,149599,4541,13409,57975,22101,17372,2155,12009,6481
"2007","12017",140169,240.093262579064,583.810634643867,19270,17676,5215,3590,,35810,0.40599998831749,147900,2538,732,138320,4983,16299,48261,14623,10154,2428,9624,4655
"2007","12019",182023,302.812728679025,601.107492389926,11106,5471,2215,16171,12318,58555,0.40599998831749,200800,1889,350,179151,6108,15912,51090,14926,8512,1827,12812,4761
"2007","12021",315839,155.943582693553,2025.34143787539,37805,33226,8606,18240,80589,57653,0.529999971389771,411900,5527,2129,313401,10190,32012,90342,36480,30878,5231,26693,15681
"2007","12023",76552,96.044478729313,797.047378597893,5782,3345,1332,,,41321,0.412999987602234,126800,2041,1053,71486,2532,6276,15727,3484,2810,1893,7100,3299
"2007","12031",849159,1097.57594095547,773.667650969811,50566,28508,10442,249217,51086,49230,0.441000014543533,185600,30611,5691,831574,49341,103325,220343,69127,45920,26830,110978,55853
"2007","12033",306407,462.603596196892,662.353259937884,24230,14384,5795,66515,10895,41894,0.458000004291534,148600,11154,2128,283717,17477,41319,79176,23682,13948,9936,32714,17768
"2007","12035",88397,182.263364393778,484.995985309584,10096,7978,3137,9212,,41830,0.428000003099442,236500,1291,136,87911,7208,11271,29492,13141,11170,1291,7447,4700
"2007","12053",169070,353.474735576641,478.308583283011,18640,18508,5793,9582,15084,44172,0.426999986171722,172400,2022,812,166506,4857,11903,57119,18710,11046,1890,7991,3750
"2007","12055",99349,96.6177000893379,1028.26914642076,12058,15578,3314,10519,,33047,0.416999995708466,139000,3877,972,97765,5486,18767,31382,9642,5410,3283,8594,4636
