"year","fips","gini_uw","gini_w","iv_gini_uw","iv_gini_w"
2007,"06079",0.439451312113181,0.43926767948542,0.449008140161899,0.449136776992332
2007,"06081",0.402459141157469,0.40223252736305,0.4234010833713,0.423334977051383
2007,"06083",0.43557419547341,0.435326258679077,0.448703608548794,0.448710839883283
2007,"06085",0.410218990418466,0.409995204533733,0.428172726022149,0.428142527100438
2007,"06087",0.433410012912314,0.433154346570867,0.443958819640403,0.444001485652788
2007,"06089",0.436225593789936,0.436022779245572,0.434482179885862,0.43469600474051
2007,"06095",0.387766280575924,0.387587406475209,0.403387033924394,0.403410737200947
2007,"06097",0.417050359620028,0.416814286081746,0.419370287289753,0.419374505945749
2007,"06099",0.41189755264169,0.411678463247604,0.428637027362518,0.428693677765698
2007,"06101",0.418503605210944,0.418262753980206,0.418943654269477,0.418972085759727
2007,"06107",0.436729658271978,0.436498045048052,0.440520275680623,0.440666635740416
