GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US45077,45077,"Pickens County, South Carolina",42847,1622,4571,939,3090,727,2742,878,2611,740,2487,814,3081,856,2155,742,3009,807,2017,675,3216,729,5710,1198,3876,827,2284,705,900,408,446,259,652,418
0500000US45079,45079,"Richland County, South Carolina",134263,2220,12178,1979,6172,1273,8138,1365,7378,1469,8825,1599,9504,1748,5598,1371,8797,1750,7631,1469,12120,1624,14105,1778,15210,2117,7388,1268,4344,1024,3465,848,3410,713
0500000US45083,45083,"Spartanburg County, South Carolina",107254,2051,9730,1272,7894,1510,8278,1355,7208,1545,8029,1592,6392,1268,6452,1320,4233,846,4731,1071,9707,1446,10806,1451,11050,1700,5840,1276,2228,583,2780,670,1896,613
0500000US45085,45085,"Sumter County, South Carolina",39030,1319,4603,996,3695,1064,2786,813,3489,940,2160,713,2555,805,2350,691,1799,626,1910,594,2285,701,3992,996,4183,933,1530,678,456,329,586,386,651,310
0500000US45091,45091,"York County, South Carolina",74938,1771,6522,1249,3479,985,4123,923,3477,721,5967,1310,4209,1040,4319,1135,4671,1038,3498,1081,5851,1016,7941,1115,9560,1268,4381,845,2391,758,2705,801,1844,617
0500000US46099,46099,"Minnehaha County, South Dakota",65172,1330,3534,799,3874,962,3765,1124,3295,802,3962,1016,3972,822,3154,775,3575,754,3596,901,7428,1146,7192,1280,9356,1238,3742,1044,1566,554,1250,421,1911,701
0500000US46103,46103,"Pennington County, South Dakota",37698,1132,3991,901,2580,684,2043,683,2217,741,2156,683,2295,731,2036,670,2360,687,1787,600,3702,775,3921,860,4850,912,1599,522,828,368,695,381,638,321
0500000US47001,47001,"Anderson County, Tennessee",30539,1053,3224,793,2464,644,1643,592,1557,634,3264,870,1385,604,907,367,2135,813,1944,658,2049,661,3549,884,2211,662,2672,816,679,450,302,257,554,345
0500000US47009,47009,"Blount County, Tennessee",46551,1284,4743,1154,2541,872,2661,680,3694,862,2235,672,2601,939,3231,1046,2426,752,3021,819,3785,957,4696,984,5702,1045,2527,710,1110,474,896,404,682,336
0500000US47011,47011,"Bradley County, Tennessee",38250,882,4501,950,3331,895,3342,1007,2162,620,1985,562,2424,788,2691,705,2179,589,1805,663,2569,712,3755,933,3420,778,2026,723,674,355,910,516,476,294
0500000US47037,47037,"Davidson County, Tennessee",249023,3033,24358,2306,16191,1902,12137,1789,17101,1926,17249,2130,18478,2126,13593,1791,12800,1959,12100,1586,22873,2321,22129,2085,22264,1786,14194,1817,8079,1099,7172,1401,8305,1181
0500000US47059,47059,"Greene County, Tennessee",27584,1296,3168,852,2366,661,2110,660,2459,681,1448,404,2616,867,1605,592,1794,634,980,467,2535,636,2707,910,1957,593,984,380,277,204,194,170,384,291
0500000US47065,47065,"Hamilton County, Tennessee",132178,2054,12488,1897,8784,1344,8043,1524,9881,1589,8978,1326,6884,1195,7228,1627,7861,1640,6542,1230,11158,1460,12051,1622,14508,1897,6499,1309,3273,870,3624,1125,4376,874
0500000US47093,47093,"Knox County, Tennessee",173393,2654,18172,1968,11033,1750,8854,1408,11787,1623,10465,1509,10927,1668,8642,1443,8085,1444,6997,1167,14470,1888,18201,2057,18881,1922,11256,1637,5277,976,4970,1066,5376,957
0500000US47113,47113,"Madison County, Tennessee",38944,1094,6334,1237,2534,699,1660,550,2069,823,2928,994,3896,1046,1352,626,1782,661,1283,583,3553,854,2857,689,4172,726,2583,646,365,240,733,379,843,436
0500000US47119,47119,"Maury County, Tennessee",31310,1036,2332,794,1545,654,2538,808,2879,982,1445,619,2124,675,1653,563,1206,490,918,479,4314,1085,2627,738,3548,1016,1987,757,1359,699,434,271,401,304
0500000US47125,47125,"Montgomery County, Tennessee",56799,1526,4599,1164,2383,887,3801,1010,4135,1057,2513,967,3643,913,2799,625,2592,776,3583,1073,6021,1208,7293,1428,7175,1293,3246,1188,1432,589,1081,427,503,319
0500000US47141,47141,"Putnam County, Tennessee",27432,820,3214,875,2090,729,2358,746,2278,800,1906,707,1819,573,1508,513,1334,563,1870,676,2418,606,2079,699,2065,593,1028,407,228,199,719,467,518,356
0500000US47149,47149,"Rutherford County, Tennessee",87368,1656,7701,1477,4144,1135,4209,1202,4111,1116,5087,1187,5038,1257,5977,1577,5422,1096,4073,940,7973,1403,11416,1718,10481,1417,6061,1044,2451,656,2004,705,1220,493
0500000US47155,47155,"Sevier County, Tennessee",30893,1762,2201,673,2286,796,2870,1006,1707,733,2572,704,2212,823,1725,624,2390,682,1956,763,2574,762,2787,789,2524,622,1133,432,1053,579,347,354,556,326
0500000US47157,47157,"Shelby County, Tennessee",341666,4934,35959,2925,20213,2459,22658,2506,25120,2440,22907,2816,20846,2202,17880,2721,18085,2124,14947,1913,23799,2219,31817,2877,34173,2775,19199,2290,11864,1834,11201,1647,10998,1401
0500000US47163,47163,"Sullivan County, Tennessee",66294,1542,8199,1463,6685,1371,3731,881,3769,995,5711,1400,3896,775,4157,1043,3261,846,3506,937,4398,1009,5578,1016,5642,1012,3418,953,1681,554,1532,579,1130,420
0500000US47165,47165,"Sumner County, Tennessee",57411,1180,3495,976,3011,931,2855,942,3046,870,3544,880,2952,1113,2572,891,2348,694,2925,738,5196,964,8338,1450,9066,1393,3691,814,2410,776,1274,528,688,290
0500000US47179,47179,"Washington County, Tennessee",44781,1640,4146,1051,3783,1028,3500,892,3046,891,3433,905,3568,1008,2759,638,1310,599,1855,530,4108,1002,5077,1178,3375,790,1653,538,790,386,1156,597,1222,471
0500000US47187,47187,"Williamson County, Tennessee",56539,983,1750,665,1695,661,1696,651,1374,619,1759,592,1788,726,1400,496,1866,678,1747,609,4095,1023,6419,1135,8778,1344,6430,1037,4428,925,4835,769,6479,974
0500000US47189,47189,"Wilson County, Tennessee",38149,1128,3047,966,1188,410,1494,541,1576,742,1717,718,1602,628,2009,882,1525,578,1367,593,3379,782,6915,1313,4732,1065,3517,885,1294,516,1233,553,1554,595
0500000US48005,48005,"Angelina County, Texas",30679,1008,1803,615,2467,982,2164,696,2503,770,2485,746,2172,570,1511,654,1524,568,1693,836,2477,682,4064,1131,2432,784,1749,707,716,565,673,435,246,197
0500000US48021,48021,"Bastrop County, Texas",22208,1449,947,476,1349,525,1518,718,1089,447,1075,538,1225,600,874,470,1299,634,1139,491,1998,638,3282,939,3433,982,1708,542,314,222,711,515,247,193
0500000US48027,48027,"Bell County, Texas",93737,1886,6219,1335,4999,954,6055,1071,6262,1463,5522,1289,6402,1324,7083,1390,5637,1131,4656,1119,8921,1387,11125,1584,9861,1552,5255,1093,1939,669,1648,691,2153,595
0500000US48029,48029,"Bexar County, Texas",535164,5062,53610,3257,33308,2783,29797,2898,33935,2613,34449,2785,32421,2770,31439,2507,29584,2791,25826,2494,43162,2929,51833,3127,58084,3907,32992,2735,17753,1809,13876,1892,13095,1759
0500000US48037,48037,"Bowie County, Texas",33835,1331,4368,1203,2375,941,2563,787,1132,547,2325,774,2297,753,2040,641,2038,757,958,408,3647,1091,3226,879,2687,629,1630,482,900,539,686,378,963,476
0500000US48039,48039,"Brazoria County, Texas",97096,2125,5247,1160,5251,1203,5300,1201,4098,1007,4168,1158,4216,960,5377,1131,4450,1060,3547,935,9121,1670,12113,1790,12055,1633,8767,1190,5910,1059,4816,871,2660,801
0500000US48041,48041,"Brazos County, Texas",60660,1743,11750,1457,4660,902,4626,1066,2731,800,3199,1082,2700,967,3085,849,2672,852,2657,799,4454,1277,5238,986,6035,1050,3183,832,1280,481,1450,538,940,362
0500000US48061,48061,"Cameron County, Texas",116070,2397,20575,2130,12426,2006,11410,1560,8329,1510,10313,1867,8046,1436,6146,1135,5925,1200,4355,877,7162,1405,6504,1241,6782,1237,3632,847,2100,615,1197,547,1168,402
0500000US48085,48085,"Collin County, Texas",246302,3028,9282,1792,4909,1166,6862,1513,8685,1771,7946,1256,8794,1506,10365,1494,11617,1879,8867,1383,19799,2297,27383,2500,35471,2645,29437,2018,17886,2065,19172,1725,19827,1784
0500000US48091,48091,"Comal County, Texas",36647,1601,2006,795,1341,533,1839,732,1297,544,2162,837,1569,743,810,447,1103,500,1857,858,4146,1049,5486,1238,5018,1112,2977,727,1653,513,1381,605,2002,660
0500000US48099,48099,"Coryell County, Texas",19918,1174,1771,657,1004,434,835,426,1687,933,1066,567,1644,643,1042,389,1711,613,452,230,1590,564,3113,804,2091,680,846,346,309,211,381,294,376,263
0500000US48113,48113,"Dallas County, Texas",821487,6284,60125,3888,45667,3957,48235,3587,56536,3938,54084,4128,54789,3405,43511,3128,49335,3572,39067,3167,67828,4325,77109,4554,85205,4233,54507,3413,25185,2265,25531,1996,34773,2357
0500000US48121,48121,"Denton County, Texas",198774,2410,8734,1545,7105,1523,6519,1425,7399,1352,8249,1400,8264,1360,10136,1587,7774,1385,9204,1575,16688,2038,20425,2082,31260,2849,20369,1817,12070,1674,14274,1908,10304,1386
0500000US48135,48135,"Ector County, Texas",45526,1355,3912,944,3439,925,4093,918,3236,865,3040,899,2729,850,2047,664,2819,891,2084,596,4533,1112,4967,929,4538,902,2577,707,572,284,501,328,439,226
0500000US48139,48139,"Ellis County, Texas",45584,1035,3544,1002,2717,906,2317,715,1906,734,2261,667,2018,711,1867,601,1574,506,2543,821,3633,971,6225,1172,6569,1058,3790,839,1882,632,1795,587,943,403
0500000US48141,48141,"El Paso County, Texas",229911,2396,32162,2463,23340,2830,18774,2273,17704,1842,16517,1767,14497,1733,14120,1606,10394,1553,9015,1590,16977,1917,18686,1933,17218,2149,9581,1523,5025,800,3028,762,2873,828
0500000US48157,48157,"Fort Bend County, Texas",131200,1519,5232,1032,3788,952,3402,819,4454,1079,4377,802,4410,1034,6879,1404,6145,1448,4942,1046,9400,1422,12413,1722,19508,1934,16629,2042,9602,1398,10381,1538,9638,1317
0500000US48167,48167,"Galveston County, Texas",104901,2583,8622,1555,5865,1375,6819,1365,4850,982,5559,1393,4564,988,3762,840,5031,904,4878,1092,8349,1354,10400,1571,15016,1976,8222,1182,4977,1094,5222,935,2765,791
0500000US48181,48181,"Grayson County, Texas",45202,1139,2897,811,3432,885,2396,642,3603,924,3288,969,2739,859,2330,725,2748,730,1957,676,4400,1055,4852,1084,5952,1066,2238,747,894,338,953,510,523,340
0500000US48183,48183,"Gregg County, Texas",44066,1146,4142,1130,3326,852,3690,1158,2836,752,3070,967,2655,773,2651,798,2488,713,1292,484,2949,647,5110,1045,4019,955,2775,676,1101,447,1371,645,591,330
0500000US48187,48187,"Guadalupe County, Texas",35167,1205,2138,861,1492,514,2032,757,1799,644,1989,602,1477,577,2064,909,2134,865,1218,475,3155,759,4166,790,5127,1004,2919,772,1676,663,986,361,795,481
0500000US48201,48201,"Harris County, Texas",1331175,7219,104397,5690,73080,3511,78690,5140,84491,4865,78439,4933,76835,4888,74023,4858,70009,3577,59082,3956,108257,5623,125518,5096,146207,5918,95838,4835,51865,3229,50072,3366,54372,3472
0500000US48209,48209,"Hays County, Texas",42550,1214,4282,1002,2695,783,1972,854,1953,656,2508,915,2367,809,1323,519,1821,691,1858,694,2928,810,4031,820,4925,1019,4026,920,2137,739,2310,777,1414,459
0500000US48213,48213,"Henderson County, Texas",29399,1276,3821,907,3232,865,2071,695,1676,686,2401,716,1772,562,1840,578,1317,500,831,368,3182,741,2300,637,2276,663,1339,516,632,270,544,287,165,136
0500000US48215,48215,"Hidalgo County, Texas",202984,2838,34294,2905,22939,3154,19035,1986,14924,2139,13768,2047,13302,2190,9220,1645,9579,1858,7905,1501,16072,2299,14180,2136,12892,1894,6149,1150,3962,1019,2795,794,1968,661
0500000US48231,48231,"Hunt County, Texas",29147,1167,3277,1012,1876,536,2475,639,2376,663,1966,572,1729,665,1922,709,1459,502,1641,681,1755,507,2797,735,2852,674,1890,538,572,283,363,203,197,144
0500000US48245,48245,"Jefferson County, Texas",90674,1745,9979,1367,7120,1123,6103,1170,7251,1284,6871,1434,4415,1002,5245,959,4119,1067,3685,1029,6512,1312,8100,1295,8863,1178,5758,1108,1694,542,1976,662,2983,829
0500000US48251,48251,"Johnson County, Texas",47990,844,2030,527,2791,807,3187,960,2386,748,2639,804,2603,878,2812,966,3120,949,2008,683,4564,886,5996,963,6518,1015,3608,921,1772,637,856,372,1100,650
0500000US48257,48257,"Kaufman County, Texas",28374,896,2186,653,1699,598,1137,500,1589,528,1693,722,1264,491,1292,442,1716,675,1290,475,1587,585,4005,864,3755,642,2602,670,1128,488,927,389,504,404
0500000US48291,48291,"Liberty County, Texas",22985,1081,2051,757,764,533,2069,758,1722,782,1992,764,1425,567,1665,636,1462,683,1109,460,1723,722,2206,609,2696,818,1297,444,310,240,312,293,182,161
0500000US48303,48303,"Lubbock County, Texas",101445,1992,11793,1646,8300,1658,7398,1302,6744,1458,5523,1204,7499,1368,5713,1249,5636,1263,4707,1067,7501,1361,9087,1412,9764,1406,5110,1003,2748,823,1822,525,2100,682
0500000US48309,48309,"McLennan County, Texas",80032,2133,11629,1320,5054,1209,6065,1050,5368,1125,4823,1095,5580,1233,4527,1033,3840,927,4382,1029,6677,1187,8156,1187,7044,1255,3585,648,1117,402,1085,428,1100,417
0500000US48329,48329,"Midland County, Texas",46892,938,4048,912,2672,694,3556,1055,3081,883,2102,730,2021,712,2575,911,3232,710,1738,539,4807,1036,4359,790,4784,904,2611,632,1341,517,1411,457,2554,609
0500000US48339,48339,"Montgomery County, Texas",134256,2023,7587,1390,4376,1025,5881,1250,6628,1332,7532,1559,6891,1378,6468,1296,5281,1174,5710,1369,10562,1674,14716,1710,17397,2046,13032,1640,6594,1283,6783,1057,8818,1338
0500000US48355,48355,"Nueces County, Texas",116297,2453,14328,1929,9885,1519,7732,1430,8264,1625,8360,1701,7047,1324,5833,1201,4733,1177,3940,925,9034,1529,11705,1627,11432,1562,6268,1199,3005,784,2568,840,2163,690
0500000US48361,48361,"Orange County, Texas",32873,1028,3212,1018,2434,815,1988,755,1982,636,2184,726,2161,900,1777,665,1568,591,1648,802,3572,916,2603,633,3653,785,2470,752,921,538,344,275,356,283
0500000US48367,48367,"Parker County, Texas",34509,958,2530,816,1301,534,1605,607,2134,978,2147,745,1090,477,1951,629,788,360,2278,831,3118,832,3592,794,5464,983,3086,667,1584,493,812,308,1029,351
0500000US48375,48375,"Potter County, Texas",41177,1392,5636,1166,3587,786,3312,785,3333,751,3055,799,3004,842,2734,838,1993,612,2139,633,3714,853,2666,839,3091,697,1347,613,819,498,329,214,418,266
0500000US48381,48381,"Randall County, Texas",42685,1076,2481,804,2697,996,1894,705,2262,780,2408,688,3091,884,1861,596,1677,623,2189,626,4183,917,5061,1046,5973,1004,3354,779,1044,423,1459,523,1051,397
