GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,I2LE001,I2LE002,I2LE003,I2LE004,I2LE005,I2LE006,I2LE007,I2LE008,I2LE009,I2LE010,I2LE011,I2LE012,I2LE013,I2LE014,I2LE015,I2LE016,I2LE017,NAME_M,I2LM001,I2LM002,I2LM003,I2LM004,I2LM005,I2LM006,I2LM007,I2LM008,I2LM009,I2LM010,I2LM011,I2LM012,I2LM013,I2LM014,I2LM015,I2LM016,I2LM017
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,NECTA Division Code,Urban Area Code,Congressional District (111th Congress) Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Estimates: Area Name,Estimates: Total,"Estimates: Less than $10,000","Estimates: $10,000 to $14,999","Estimates: $15,000 to $19,999","Estimates: $20,000 to $24,999","Estimates: $25,000 to $29,999","Estimates: $30,000 to $34,999","Estimates: $35,000 to $39,999","Estimates: $40,000 to $44,999","Estimates: $45,000 to $49,999","Estimates: $50,000 to $59,999","Estimates: $60,000 to $74,999","Estimates: $75,000 to $99,999","Estimates: $100,000 to $124,999","Estimates: $125,000 to $149,999","Estimates: $150,000 to $199,999","Estimates: $200,000 or more",Margins of error: Area Name,Margins of error: Total,"Margins of error: Less than $10,000","Margins of error: $10,000 to $14,999","Margins of error: $15,000 to $19,999","Margins of error: $20,000 to $24,999","Margins of error: $25,000 to $29,999","Margins of error: $30,000 to $34,999","Margins of error: $35,000 to $39,999","Margins of error: $40,000 to $44,999","Margins of error: $45,000 to $49,999","Margins of error: $50,000 to $59,999","Margins of error: $60,000 to $74,999","Margins of error: $75,000 to $99,999","Margins of error: $100,000 to $124,999","Margins of error: $125,000 to $149,999","Margins of error: $150,000 to $199,999","Margins of error: $200,000 or more"
"G3101530","2010",,,"Nebraska","31","Sarpy County","153",,,,,,,,,,,,,,,,,"Sarpy County, Nebraska",58479,1543,1963,1499,2169,2231,2736,3035,2349,2118,4145,8437,10937,6212,4185,3305,1615,"Sarpy County, Nebraska",1047,636,498,634,808,647,782,944,843,660,820,1411,1388,1076,929,792,611
"G3200030","2010",,,"Nevada","32","Clark County","003",,,,,,,,,,,,,,,,,"Clark County, Nevada",698955,48705,30440,32893,42283,38091,42444,34092,38001,30991,60494,80552,91544,50333,30442,27030,20620,"Clark County, Nevada",6226,3761,2892,3240,3374,2824,3469,3979,3194,2775,4208,4850,4358,3427,2745,2610,1964
"G3200310","2010",,,"Nevada","32","Washoe County","031",,,,,,,,,,,,,,,,,"Washoe County, Nevada",163220,11474,7953,10083,9373,8029,11166,8654,7709,6200,13269,17280,18610,15102,7000,4733,6585,"Washoe County, Nevada",3189,1906,1521,1640,1848,1647,1789,1629,1270,1203,1768,2324,1954,2009,1322,1175,1543
"G3300050","2010",,,"New Hampshire","33","Cheshire County","005",,,,,,,,,,,,,,,,,"Cheshire County, New Hampshire",29931,1822,1301,2213,2024,1742,1428,1837,1651,1551,2155,2609,4620,2543,898,887,650,"Cheshire County, New Hampshire",1095,584,527,595,549,625,514,651,645,603,558,641,880,804,378,392,255
"G3300090","2010",,,"New Hampshire","33","Grafton County","009",,,,,,,,,,,,,,,,,"Grafton County, New Hampshire",34169,2213,1430,1382,2294,2329,1767,1428,1824,2058,3302,3546,4268,2632,1322,1116,1258,"Grafton County, New Hampshire",1503,566,555,548,624,843,551,444,529,609,969,812,836,613,473,330,406
"G3300110","2010",,,"New Hampshire","33","Hillsborough County","011",,,,,,,,,,,,,,,,,"Hillsborough County, New Hampshire",152652,6386,4780,7061,4220,7388,5199,5771,6052,7753,12350,16356,23076,15951,11581,10447,8281,"Hillsborough County, New Hampshire",3403,1251,1045,1519,943,1362,1252,1034,1308,1564,1714,1721,2003,1708,1401,1459,1134
"G3300130","2010",,,"New Hampshire","33","Merrimack County","013",,,,,,,,,,,,,,,,,"Merrimack County, New Hampshire",57224,2858,2751,2300,2588,2791,2783,2568,2692,1873,4470,7804,8273,5597,3118,2591,2167,"Merrimack County, New Hampshire",1392,900,893,630,851,746,737,755,857,625,860,1255,1227,1028,947,722,667
"G3300150","2010",,,"New Hampshire","33","Rockingham County","015",,,,,,,,,,,,,,,,,"Rockingham County, New Hampshire",115179,4386,2921,3436,3801,3993,5024,4541,5217,3953,8080,13367,17280,12557,9010,10205,7408,"Rockingham County, New Hampshire",2017,1142,773,984,1057,1015,1120,975,1343,1037,1442,1812,2025,1452,1454,1292,1234
"G3300170","2010",,,"New Hampshire","33","Strafford County","017",,,,,,,,,,,,,,,,,"Strafford County, New Hampshire",46410,1729,2814,2141,2703,2193,2559,1844,2858,3126,4819,4240,6631,3916,1974,1369,1494,"Strafford County, New Hampshire",1883,784,866,686,842,752,856,564,894,976,996,967,1098,930,622,496,633
"G3400010","2010",,,"New Jersey","34","Atlantic County","001",,,,,,,,,,,,,,,,,"Atlantic County, New Jersey",100096,7064,5596,4627,5821,4992,6018,5054,4693,3667,8281,11324,13709,6916,4043,5416,2875,"Atlantic County, New Jersey",2650,1357,1159,1206,1284,1083,1299,1158,1004,1015,1361,1406,1803,1110,1022,915,701
"G3400030","2010",,,"New Jersey","34","Bergen County","003",,,,,,,,,,,,,,,,,"Bergen County, New Jersey",333002,15136,12370,12622,11965,12723,11030,10606,12421,10403,22560,30597,40999,33048,23586,34456,38480,"Bergen County, New Jersey",2606,2307,1821,1687,1944,1830,1828,1790,1876,1613,2306,2601,3268,2931,2012,3059,2819
"G3400050","2010",,,"New Jersey","34","Burlington County","005",,,,,,,,,,,,,,,,,"Burlington County, New Jersey",163961,5249,4370,4616,4962,6559,5912,5261,6965,8408,13137,17185,23909,17747,11724,15685,12272,"Burlington County, New Jersey",2192,1283,1016,972,946,1209,1047,1092,1280,1330,1616,2056,2026,1937,1577,1974,1512
"G3400070","2010",,,"New Jersey","34","Camden County","007",,,,,,,,,,,,,,,,,"Camden County, New Jersey",189895,12181,10790,8892,8341,11102,7925,8994,7220,7927,15046,19441,26033,17950,9789,9815,8449,"Camden County, New Jersey",2553,1670,1666,1531,1201,1695,1403,1563,1017,1527,1709,2191,2389,2065,1540,1264,1174
"G3400090","2010",,,"New Jersey","34","Cape May County","009",,,,,,,,,,,,,,,,,"Cape May County, New Jersey",42763,2049,2469,2874,1846,2363,1891,2053,1921,2164,3353,3943,5084,4110,2495,1793,2355,"Cape May County, New Jersey",2844,868,758,925,653,706,674,708,740,764,1076,1100,1168,959,839,638,785
"G3400110","2010",,,"New Jersey","34","Cumberland County","011",,,,,,,,,,,,,,,,,"Cumberland County, New Jersey",50237,4229,3600,3260,3114,2416,1657,2028,1841,1881,4665,5190,6110,4493,2670,1774,1309,"Cumberland County, New Jersey",2022,817,761,721,876,780,532,755,553,734,1101,1104,1057,1026,768,544,538
"G3400130","2010",,,"New Jersey","34","Essex County","013",,,,,,,,,,,,,,,,,"Essex County, New Jersey",275417,28243,16478,12622,15666,13458,12261,11034,11692,9909,20813,23363,31262,20334,11946,14778,21558,"Essex County, New Jersey",3883,2567,1993,1824,2113,2074,1637,1786,1667,1442,2346,2292,2360,2075,1469,1717,1962
"G3400150","2010",,,"New Jersey","34","Gloucester County","015",,,,,,,,,,,,,,,,,"Gloucester County, New Jersey",104782,5129,4137,4957,3194,3779,3705,3067,3754,4470,8013,11739,17235,10650,6309,8685,5959,"Gloucester County, New Jersey",1463,1256,1045,1134,876,792,781,777,1027,1183,1460,1492,1919,1273,1132,1280,1310
"G3400170","2010",,,"New Jersey","34","Hudson County","017",,,,,,,,,,,,,,,,,"Hudson County, New Jersey",238692,19411,14462,12738,11414,9765,10768,10139,11283,8346,19489,25287,26814,17871,13433,11757,15715,"Hudson County, New Jersey",3159,2210,1898,1814,1704,1634,1704,1666,1780,1573,2277,2138,2896,2211,1814,1504,1921
"G3400190","2010",,,"New Jersey","34","Hunterdon County","019",,,,,,,,,,,,,,,,,"Hunterdon County, New Jersey",47550,1082,1109,1704,1372,1520,1518,1037,775,984,2872,3611,6390,6647,3933,5402,7594,"Hunterdon County, New Jersey",1296,367,522,707,583,566,504,413,346,410,760,758,1050,1262,872,1189,973
"G3400210","2010",,,"New Jersey","34","Mercer County","021",,,,,,,,,,,,,,,,,"Mercer County, New Jersey",131500,7333,5520,4498,6206,4842,6366,4881,4515,3672,9466,12122,15667,13838,8989,11002,12583,"Mercer County, New Jersey",1684,1432,1068,889,1142,1076,1156,1100,963,964,1402,1780,2008,1574,1367,1293,1479
"G3400230","2010",,,"New Jersey","34","Middlesex County","023",,,,,,,,,,,,,,,,,"Middlesex County, New Jersey",278877,9344,8634,10320,10643,8303,9181,8697,9183,10133,20666,31357,41574,37598,22043,23338,17863,"Middlesex County, New Jersey",3139,1433,1575,1645,1628,1308,1580,1365,1496,1695,1986,2511,3242,2676,2006,2136,1760
"G3400250","2010",,,"New Jersey","34","Monmouth County","025",,,,,,,,,,,,,,,,,"Monmouth County, New Jersey",234582,8749,7916,9961,10319,8588,8191,6853,7923,6329,16095,18409,30287,25901,17421,23299,28341,"Monmouth County, New Jersey",2773,1522,1405,1456,1863,1469,1509,1148,1384,1037,2168,1898,2809,2397,1974,2021,2074
"G3400270","2010",,,"New Jersey","34","Morris County","027",,,,,,,,,,,,,,,,,"Morris County, New Jersey",177786,5141,3562,5077,5521,4836,5610,4351,4823,6091,9617,17660,25266,17791,15796,20542,26102,"Morris County, New Jersey",2726,1343,1023,900,1264,1132,1220,1047,1345,1364,1399,2034,2260,2073,2133,2083,2333
"G3400290","2010",,,"New Jersey","34","Ocean County","029",,,,,,,,,,,,,,,,,"Ocean County, New Jersey",220972,10564,10035,12232,12303,10182,10739,10325,11007,8971,17738,22600,30151,22012,11846,11900,8367,"Ocean County, New Jersey",3427,1796,1447,1595,1816,1499,1668,1574,1549,1340,2202,2164,2806,2454,1532,1660,1108
"G3400310","2010",,,"New Jersey","34","Passaic County","031",,,,,,,,,,,,,,,,,"Passaic County, New Jersey",161527,14538,7604,8241,9045,9448,7555,6468,6335,6339,11626,14431,17637,14989,9138,10658,7475,"Passaic County, New Jersey",2158,1914,1465,1389,1367,1692,1246,1130,1493,1224,1838,1906,2215,1976,1495,1381,1326
"G3400330","2010",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,"Salem County, New Jersey",24898,1870,1007,1744,761,1364,924,1598,709,652,2532,2783,2743,2893,1222,1341,755,"Salem County, New Jersey",801,559,478,588,413,427,421,646,335,280,558,705,582,716,399,446,280
"G3400350","2010",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,"Somerset County, New Jersey",115913,2634,2400,3558,1921,3395,4132,2979,3983,2686,5915,9898,17447,12690,10879,15162,16234,"Somerset County, New Jersey",1862,914,781,887,606,872,1018,863,1077,851,1174,1463,1954,1850,1533,2031,1512
"G3400370","2010",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,"Sussex County, New Jersey",54881,1754,1136,1244,1527,1694,2332,2049,1810,2013,4162,5203,8209,7910,5017,4714,4107,"Sussex County, New Jersey",1763,670,567,499,623,660,712,736,617,693,856,1042,1285,1132,1124,826,908
"G3400390","2010",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,"Union County, New Jersey",183882,10740,6138,7267,8033,6982,7339,7177,7990,8382,12687,19256,21678,18540,12838,11796,17039,"Union County, New Jersey",2025,1783,1127,1313,1473,1302,1274,1604,1239,1615,1985,1862,1914,1811,1736,1510,1494
"G3400410","2010",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,"Warren County, New Jersey",41208,1902,1644,1305,2276,1607,1101,1151,1774,1306,2966,4432,6248,4492,3317,3291,2396,"Warren County, New Jersey",1370,666,597,558,659,531,404,379,693,560,626,852,1110,940,790,647,637
"G3500010","2010",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,"Bernalillo County, New Mexico",264189,21616,14552,15041,16275,14517,15726,12808,14652,11166,20586,28292,31425,18678,11251,10565,7039,"Bernalillo County, New Mexico",2768,2717,1800,1778,2137,2018,2192,2060,1907,1778,2370,2332,2868,1968,1460,1429,1277
"G3500050","2010",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,"Chaves County, New Mexico",23859,2071,1364,2445,2337,1672,2343,1101,1100,1084,2143,1750,2589,817,615,428,0,"Chaves County, New Mexico",1607,889,599,854,860,728,851,499,500,512,836,645,896,456,442,282,285
"G3500130","2010",,,"New Mexico","35","Dona Ana County","013",,,,,,,,,,,,,,,,,"Doña Ana County, New Mexico",73614,8630,5913,6932,5622,4179,5377,4149,2424,2912,5600,6457,6777,3614,2155,1641,1232,"Doña Ana County, New Mexico",1862,1456,1426,1460,1283,834,1437,1084,707,860,1265,1313,1395,778,694,558,668
"G3500310","2010",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,"McKinley County, New Mexico",17100,3108,1487,1373,1473,1323,1297,530,616,1066,1045,1104,942,492,605,457,182,"McKinley County, New Mexico",1017,745,576,539,624,488,490,216,318,560,436,472,437,301,425,318,161
"G3500430","2010",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,"Sandoval County, New Mexico",47217,3261,2240,2084,2425,1556,2984,2862,3450,1792,3868,5293,5832,2373,2975,1793,2429,"Sandoval County, New Mexico",1047,773,738,660,783,567,788,824,959,684,904,927,1147,737,782,637,743
"G3500450","2010",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,"San Juan County, New Mexico",41703,4067,2400,2651,2581,2599,1759,2116,2630,2023,4011,3806,4752,3115,1544,786,863,"San Juan County, New Mexico",1237,1004,711,819,763,904,606,897,811,739,1022,990,1028,816,657,402,383
"G3500490","2010",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,"Santa Fe County, New Mexico",61494,5957,4096,3683,4086,3492,2676,3421,2419,2049,5008,6831,5787,4538,2869,2396,2186,"Santa Fe County, New Mexico",1932,1241,1063,936,1023,1020,827,842,758,594,1032,1277,1088,1003,1062,708,634
"G3500610","2010",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,"Valencia County, New Mexico",27387,3559,1586,2521,1726,1065,1716,1644,1512,1111,1682,2273,3480,1986,416,737,373,"Valencia County, New Mexico",1277,950,563,907,640,559,721,604,553,570,682,811,901,719,235,333,269
"G3600010","2010",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,"Albany County, New York",120485,8522,7970,6205,6868,6182,5980,5413,4749,3829,10007,12098,12663,12461,6302,7415,3821,"Albany County, New York",2595,1529,1470,1290,1377,1225,1533,1230,1151,1016,1604,1570,2072,1762,1164,1166,857
"G3600050","2010",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,"Bronx County, New York",471912,79341,43327,37359,31890,28328,23676,23857,22742,21438,34843,38817,39187,21697,10488,9307,5615,"Bronx County, New York",4085,4997,3360,3036,2791,2880,2364,2631,2397,2605,3574,2933,2665,2672,1456,1689,1247
"G3600070","2010",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,"Broome County, New York",80018,6814,5661,4080,5398,4407,4946,4440,4730,4461,6716,8404,9332,4303,2434,1894,1998,"Broome County, New York",2108,1164,1251,893,1044,983,1033,1039,1008,1197,1221,1244,1432,989,595,538,654
"G3600090","2010",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,"Cattaraugus County, New York",32183,2253,1970,2274,2707,2322,1866,1868,1882,1648,3096,3487,3706,1780,461,544,319,"Cattaraugus County, New York",1261,557,506,520,627,575,483,396,504,530,631,545,610,442,259,279,207
"G3600110","2010",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,"Cayuga County, New York",30975,1781,1489,1783,2009,1668,1700,1849,2059,1549,3752,3023,3996,2010,1148,789,370,"Cayuga County, New York",1139,568,505,701,616,396,468,614,552,468,847,732,903,489,446,405,241
"G3600130","2010",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,"Chautauqua County, New York",55362,5522,3992,3879,4029,4001,2653,3312,2695,2799,5402,5037,6373,3249,1318,810,291,"Chautauqua County, New York",2274,962,847,754,820,941,592,751,583,738,965,980,1004,751,401,357,203
"G3600150","2010",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,"Chemung County, New York",35534,2007,1996,3029,2649,2711,1563,1168,1533,2087,3515,3396,4447,2042,1130,1317,944,"Chemung County, New York",1500,717,681,937,754,867,572,407,491,591,730,739,1013,577,540,747,467
"G3600190","2010",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,"Clinton County, New York",31659,3461,2605,1818,2087,1464,1760,1151,1978,663,2260,3776,4040,2073,1279,936,308,"Clinton County, New York",1300,1008,647,803,684,578,613,566,639,259,662,863,692,700,638,407,218
"G3600270","2010",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,"Dutchess County, New York",106934,4975,4288,2937,5320,3719,4280,4628,3939,3694,8231,11635,17023,11546,7372,7004,6343,"Dutchess County, New York",2200,1067,1044,902,1265,1079,1135,1282,1048,832,1236,1734,1698,1778,1510,1333,1105
"G3600290","2010",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,"Erie County, New York",376954,33458,22609,24197,23206,20791,18704,17148,21169,18034,33387,37325,45530,26253,13781,12683,8679,"Erie County, New York",4138,3150,1961,2391,2221,2210,1816,2032,2153,2066,2561,2632,3261,2196,1571,1518,1151
"G3600450","2010",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,"Jefferson County, New York",45163,3681,2625,1994,2887,3097,2817,3387,2733,2386,4054,4920,4832,2957,874,1164,755,"Jefferson County, New York",1665,967,625,624,796,870,815,1178,790,658,1121,1045,872,865,330,441,353
"G3600470","2010",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,"Kings County, New York",905317,112296,62769,53533,55200,49981,48303,44228,45482,36707,65988,73212,88934,60567,39690,37648,30779,"Kings County, New York",5879,5616,4044,3466,3470,3726,3664,3615,3503,3521,3833,4957,4286,3763,3263,3041,2298
"G3600510","2010",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,"Livingston County, New York",23854,1709,1653,1336,1059,773,1387,1475,1521,786,2129,2563,3806,2002,730,613,312,"Livingston County, New York",1543,809,553,536,417,314,475,393,567,326,560,604,779,518,314,239,257
"G3600530","2010",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,"Madison County, New York",26243,1572,1891,1208,895,1101,1955,1256,1389,1195,2692,3785,3212,1731,956,703,702,"Madison County, New York",1365,538,659,458,356,475,575,379,536,476,671,720,749,440,387,330,307
"G3600550","2010",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,"Monroe County, New York",294661,26316,14857,16394,16194,15494,16529,14819,14175,13609,24917,29655,35196,23013,13207,10797,9489,"Monroe County, New York",3552,2630,1755,1895,1887,1988,1865,1964,1837,1662,2475,2265,2750,2084,1513,1333,1404
"G3600590","2010",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,"Nassau County, New York",442729,13768,10351,14197,12572,13252,12493,12981,14701,13163,28419,37087,55198,54102,38711,51605,60129,"Nassau County, New York",3469,2164,1684,1760,1691,1895,1687,1872,1602,1859,2560,2818,3713,3537,2795,3106,3384
"G3600610","2010",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,"New York County, New York",726090,74266,36539,33408,32972,26011,26703,23092,26623,21270,42476,58164,69353,60273,31118,50360,113462,"New York County, New York",7394,4191,3383,2688,3076,3069,2626,2391,2498,2646,3191,4295,4299,4031,2681,3993,4774
"G3600630","2010",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,"Niagara County, New York",87627,7892,6469,5533,5875,3793,5408,5214,4271,2990,6964,9539,9601,6367,3368,2642,1701,"Niagara County, New York",1951,1372,1091,1174,1296,1016,1252,1319,986,729,1116,1492,1243,1209,853,828,533
"G3600650","2010",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,"Oneida County, New York",89382,7053,4692,5203,5828,5237,4482,5304,5025,4486,6509,10410,9919,7034,4382,2804,1014,"Oneida County, New York",2232,1201,974,1017,1044,1051,980,1180,1106,880,860,1557,1364,1174,936,742,445
"G3600670","2010",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,"Onondaga County, New York",184589,16101,9403,10555,11023,10293,8789,10257,7283,7635,15875,17815,22738,16590,7737,6585,5910,"Onondaga County, New York",2699,2046,1450,1377,1645,1510,1373,1502,1319,1132,2020,1892,2260,1955,963,1083,923
"G3600690","2010",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,"Ontario County, New York",43670,1635,1843,2349,3154,2833,2450,1359,1967,2470,4328,5302,5119,3775,1653,1993,1440,"Ontario County, New York",1428,593,497,840,753,906,827,445,686,706,916,894,974,841,681,792,521
"G3600710","2010",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,"Orange County, New York",124627,5209,5033,5611,5446,4164,6454,5236,4271,4411,10506,12659,18815,13429,9186,8460,5737,"Orange County, New York",2250,1367,928,1274,1078,1017,1382,1249,1229,954,1669,1720,2038,1754,1724,1468,1174
"G3600750","2010",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,"Oswego County, New York",44780,4784,2526,2675,3040,2025,2673,2162,2687,2098,4125,4308,4904,3669,1329,1373,402,"Oswego County, New York",1658,1124,653,719,719,524,658,622,749,770,753,782,995,858,528,520,279
"G3600790","2010",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,"Putnam County, New York",34727,1406,815,1064,955,1658,1733,873,1249,661,2402,3130,4774,4139,3063,2875,3930,"Putnam County, New York",2125,584,382,550,392,747,757,484,619,383,821,869,1165,947,812,882,913
"G3600810","2010",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,"Queens County, New York",772332,56655,36674,40472,43158,37424,40980,36142,35217,34810,65317,81619,96655,64053,39778,38920,24458,"Queens County, New York",4924,3652,2854,3244,3168,3238,3081,3600,2975,3138,4580,4923,4727,4555,3196,2682,2492
"G3600830","2010",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,"Rensselaer County, New York",65219,4032,4114,3570,4110,3417,3389,3152,2599,2959,5876,6072,9157,5110,3232,2875,1555,"Rensselaer County, New York",1505,1020,1106,945,922,1196,1070,846,791,1069,1107,1154,1336,969,911,658,502
"G3600850","2010",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,"Richmond County, New York",163816,11750,6443,7190,7398,5957,6247,6493,4548,4755,9922,15057,21057,19664,12266,14951,10118,"Richmond County, New York",2106,1964,1295,1452,1541,1363,1525,1402,1131,1065,1489,1900,2258,2294,1714,1983,1475
"G3600870","2010",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,"Rockland County, New York",98207,4093,3252,3946,3335,2942,3601,3499,2858,2186,6065,8208,12766,11502,7594,11017,11343,"Rockland County, New York",1956,1152,865,1084,781,824,1107,975,750,770,1291,1329,1934,1651,1272,1682,1684
"G3600890","2010",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,"St. Lawrence County, New York",43123,3257,3705,2605,4503,2170,2504,2757,2025,1742,2588,4247,5598,2465,1088,984,885,"St. Lawrence County, New York",1572,761,765,650,973,467,660,874,618,598,560,798,935,628,372,348,487
"G3600910","2010",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,"Saratoga County, New York",90445,3568,4124,3268,4032,4409,3097,3229,3641,3544,7451,11387,13613,10435,6040,4678,3929,"Saratoga County, New York",1733,967,1220,1086,1168,1063,1000,926,891,855,1240,1529,1666,1382,1269,1015,958
"G3600930","2010",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,"Schenectady County, New York",58773,3726,3000,3122,4552,1998,2893,3149,2280,2516,5969,6169,7169,5246,3032,2336,1616,"Schenectady County, New York",1652,818,809,840,1085,615,741,901,688,720,1052,1021,1199,966,763,782,545
"G3601010","2010",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,"Steuben County, New York",41052,3133,2527,2434,2508,2252,2616,2581,1979,2167,3954,4486,4375,2418,1434,1426,762,"Steuben County, New York",1246,923,636,493,523,495,622,700,540,540,797,830,829,577,465,565,342
"G3601030","2010",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,"Suffolk County, New York",496266,16720,12963,16889,16469,13940,15426,14360,19799,15913,30841,52759,74812,58477,44246,48792,43860,"Suffolk County, New York",4614,2178,1899,2325,2146,1786,2266,1941,2584,2027,2500,3648,4745,3922,2954,3411,3325
"G3601050","2010",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,"Sullivan County, New York",31599,2936,2840,1546,2376,881,2300,1947,1279,981,3057,2978,3876,1880,860,1178,684,"Sullivan County, New York",1880,936,872,619,776,476,746,706,585,493,814,786,893,563,353,519,346
"G3601090","2010",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,"Tompkins County, New York",37812,4312,1988,1813,1793,1410,2029,2108,1464,1316,3008,4066,4262,3498,2331,1654,760,"Tompkins County, New York",1863,1060,592,575,626,555,668,626,492,493,767,953,807,792,772,486,350
"G3601110","2010",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,"Ulster County, New York",68581,4667,3832,4039,3271,3481,3620,3595,3966,2676,6552,6548,7987,5672,3131,3342,2202,"Ulster County, New York",3964,1409,1104,1087,957,958,1036,833,1062,751,1328,1370,1219,1137,850,786,696
"G3601130","2010",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,"Warren County, New York",28809,971,1341,1583,1260,2467,1696,1049,1649,1533,2503,2929,4416,2804,1350,739,519,"Warren County, New York",1348,425,534,516,433,754,607,492,495,612,742,765,952,679,480,341,343
"G3601170","2010",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,"Wayne County, New York",36603,1822,1868,1850,2293,2122,2158,1754,2666,1562,3715,3720,5554,3335,677,1038,469,"Wayne County, New York",1398,732,740,649,600,715,648,687,837,480,754,796,1041,861,363,475,267
"G3601190","2010",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,"Westchester County, New York",344475,15067,12484,12719,13332,12698,11029,11812,11288,10019,23452,31736,41860,34332,21741,29495,51411,"Westchester County, New York",3523,1975,1896,1752,1694,1685,1341,1916,1584,1549,2158,2354,3131,3180,2386,2754,2523
"G3700010","2010",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,"Alamance County, North Carolina",59811,5245,4277,3890,4027,4113,4534,2936,3878,3290,4684,6766,5263,3114,1557,1226,1011,"Alamance County, North Carolina",1934,1199,1080,1097,1122,1175,1062,932,982,910,1183,1309,1084,821,561,508,510
"G3700190","2010",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,"Brunswick County, North Carolina",46573,3556,4722,3404,2917,2142,2085,2025,3275,2203,4378,4539,5292,2567,1448,948,1072,"Brunswick County, North Carolina",2802,1094,1205,1054,883,714,760,649,841,778,1013,1095,1071,798,520,470,535
