GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US51085,51085,"Hanover County, Virginia",36338,667,1416,491,922,507,1402,477,1074,563,1324,671,1286,629,1278,566,990,454,969,443,3028,670,4248,969,6184,1209,3721,879,4094,759,3104,863,1298,521
0500000US51087,51087,"Henrico County, Virginia",117830,1685,4416,924,4221,1137,4423,1178,5808,1428,6055,1327,7140,1393,5912,1134,5659,1145,5341,1082,11507,1519,14373,1715,15944,1874,9765,1774,6081,1402,4971,918,6214,1112
0500000US51107,51107,"Loudoun County, Virginia",86607,2282,1859,803,641,374,1116,643,1119,737,2145,800,1389,587,1604,572,2169,971,2151,771,3573,842,9349,1685,11724,1608,12894,1615,10348,1339,11527,1391,12999,1519
0500000US51121,51121,"Montgomery County, Virginia",33219,1113,3257,817,3361,958,2571,777,1658,614,1800,681,2068,780,1524,603,1243,456,835,341,2552,870,3152,755,5231,1150,1320,560,1419,483,899,419,329,316
0500000US51153,51153,"Prince William County, Virginia",122984,1965,1473,795,2209,866,2605,970,3070,1069,2784,793,2625,978,3989,1175,3459,1000,5566,1647,8183,1599,13746,2110,22064,2340,17240,2098,11402,1691,13056,1784,9513,1321
0500000US51161,51161,"Roanoke County, Virginia",37891,798,1629,508,1519,675,1342,565,2109,707,1943,745,1652,645,1838,606,2009,729,2105,860,2863,772,5358,1355,5614,1147,3346,816,2243,718,1408,431,913,465
0500000US51165,51165,"Rockingham County, Virginia",28822,911,1211,385,1067,377,1392,506,1988,563,2065,753,1891,560,1757,634,1765,554,1645,569,3125,748,3800,861,3316,863,1924,598,464,279,820,359,592,286
0500000US51177,51177,"Spotsylvania County, Virginia",41602,1011,1097,493,1961,908,1202,614,1637,633,1430,649,1355,585,1734,656,1117,549,1410,550,3357,1151,4533,1045,8523,1560,4143,936,3273,772,3155,777,1675,585
0500000US51179,51179,"Stafford County, Virginia",39419,1048,532,337,538,273,889,467,770,591,660,347,1209,486,1030,492,1475,549,1947,773,3078,694,4374,944,5720,1038,5010,913,4057,875,4277,890,3853,797
0500000US51510,51510,"Alexandria city, Virginia",61822,1657,2994,953,1434,698,1087,465,1261,525,1687,824,2152,843,2377,734,2911,960,2479,824,4297,879,5700,947,8629,1527,7727,1413,4621,929,5401,1063,7065,964
0500000US51550,51550,"Chesapeake city, Virginia",78340,1023,3014,797,2021,818,3024,815,3909,1065,4275,1203,2159,695,2853,870,3970,1109,3595,992,6694,1254,11230,1435,11897,1473,8053,1326,5185,814,4234,1029,2227,619
0500000US51650,51650,"Hampton city, Virginia",54508,1312,3808,905,3590,984,1660,657,3357,870,2627,698,3839,1240,4128,1133,2990,964,3243,1145,5390,1247,6312,1197,7043,1260,2996,703,1933,583,874,376,718,350
0500000US51680,51680,"Lynchburg city, Virginia",25956,1286,3135,835,1499,487,2562,649,1446,593,2556,832,1895,572,1603,577,507,290,1357,586,2493,660,1880,521,1981,571,756,328,836,391,406,218,1044,458
0500000US51700,51700,"Newport News city, Virginia",74060,1426,5498,1048,3833,1100,5242,1172,4006,1015,4418,1193,5247,1400,3588,866,4882,1327,4020,1089,6347,1543,8255,1438,10237,1594,3728,765,2243,706,1782,584,734,391
0500000US51710,51710,"Norfolk city, Virginia",85453,1746,9269,1557,5552,1222,4217,1107,4739,1068,5877,1100,6421,1393,5783,1430,5183,1001,3833,986,6362,1168,8674,1509,9601,1334,4393,936,2098,467,1772,563,1679,630
0500000US51740,51740,"Portsmouth city, Virginia",39570,1034,3114,888,2453,718,2016,711,3063,855,2619,821,2264,774,1696,695,2865,716,2813,911,4222,1099,3695,881,4724,1013,1429,557,984,486,1113,586,500,349
0500000US51760,51760,"Richmond city, Virginia",81121,1762,11510,1785,6185,1209,4712,1010,5706,1275,5326,1195,4110,895,4258,1016,4639,980,3247,1000,6596,1363,8474,1435,5454,1038,4137,1038,1500,470,2420,706,2847,648
0500000US51770,51770,"Roanoke city, Virginia",42604,1171,4347,900,3821,1014,3047,939,1696,718,3689,821,3695,960,3236,803,2193,686,1846,761,3524,1018,4232,1145,3559,936,1943,813,662,482,368,240,746,402
0500000US51800,51800,"Suffolk city, Virginia",30009,867,2220,834,1731,685,1241,465,915,383,1473,525,1456,602,874,366,1235,545,1811,852,2227,673,2564,935,5685,971,2730,721,2259,760,832,393,756,393
0500000US51810,51810,"Virginia Beach city, Virginia",162546,2247,5826,1404,3459,796,5300,1133,7819,1378,6996,1472,6626,1279,7425,1344,10510,1774,7492,1207,17378,2212,21015,2326,23970,2301,15468,1916,9966,1757,8152,1490,5144,925
0500000US53005,53005,"Benton County, Washington",56391,1747,4239,1019,2599,856,2611,759,3296,918,1954,583,3683,863,2576,827,3755,1179,2692,978,4212,986,5895,1031,6873,1027,4821,909,2922,660,2622,693,1641,533
0500000US53007,53007,"Chelan County, Washington",26769,1295,1336,608,2012,730,2003,858,1825,560,1023,499,1790,693,1568,617,1694,615,861,412,2761,838,3491,1055,3112,751,1818,627,760,433,511,339,204,167
0500000US53009,53009,"Clallam County, Washington",30700,879,2101,854,2284,712,1141,513,2163,670,2565,699,2974,698,1724,584,1850,667,1313,492,3430,910,3004,694,2849,733,1629,573,603,283,833,434,237,172
0500000US53011,53011,"Clark County, Washington",150640,1786,7346,1295,6238,1339,6782,1336,6714,1290,5568,975,8167,1334,7042,1185,7981,1262,8040,1526,13867,1635,19034,1976,22329,1940,14405,1389,6506,1051,5331,1032,5290,1179
0500000US53015,53015,"Cowlitz County, Washington",38117,1224,1966,635,2853,706,2545,896,2596,900,2619,830,2928,962,1689,506,2408,808,2381,773,3270,820,4785,1104,4056,947,2052,654,1224,438,630,353,115,116
0500000US53021,53021,"Franklin County, Washington",20050,770,1873,755,572,405,823,325,1688,711,1700,684,815,420,1018,600,1037,466,694,422,2373,899,2718,896,2309,607,1247,461,166,136,431,289,586,321
0500000US53025,53025,"Grant County, Washington",28216,1028,2564,811,2398,664,1425,565,2009,687,1738,533,1781,775,1567,636,1497,629,1313,778,3244,878,3406,1021,2614,654,1210,485,432,236,495,249,523,352
0500000US53027,53027,"Grays Harbor County, Washington",27388,1514,1408,527,1960,824,1396,520,1915,542,1668,599,2156,708,1672,540,1931,698,2032,663,2890,851,3110,885,2510,639,1441,577,515,282,524,294,260,179
0500000US53029,53029,"Island County, Washington",31359,1180,1927,642,1366,577,1176,501,1379,448,1320,429,1640,579,2069,569,1173,457,1289,522,2635,609,5016,928,4694,842,2761,708,1317,460,647,236,950,423
0500000US53033,53033,"King County, Washington",762697,4519,43377,3319,28604,3066,24947,2680,29337,3026,29778,3175,31358,2573,32395,3080,31522,2587,30837,2632,59571,3514,73581,4176,112649,4965,82769,3609,47068,3270,50776,3414,54128,3603
0500000US53035,53035,"Kitsap County, Washington",90010,1995,5586,1171,2886,745,3490,812,4468,1110,3809,1052,4357,941,4501,1014,3835,773,4729,996,8556,1344,12379,1528,11292,1237,7898,1175,4791,1160,4361,1009,3072,691
0500000US53041,53041,"Lewis County, Washington",29130,817,2232,585,1519,565,1491,587,2235,663,1613,632,2133,684,2059,608,1658,595,1725,576,3472,799,3364,894,2376,627,1580,549,748,439,646,337,279,258
0500000US53053,53053,"Pierce County, Washington",289476,2715,18611,2166,12109,1682,11463,1652,12851,1590,13952,1878,15488,1886,15717,1658,15597,2010,12442,1685,25442,2090,34373,2469,40761,2613,26553,2392,14079,1658,11900,1560,8138,1354
0500000US53057,53057,"Skagit County, Washington",44037,1031,2217,616,1820,464,2339,709,2594,747,2667,949,2960,658,1755,538,2055,677,2699,688,4515,923,5669,933,5280,932,4114,921,1573,605,910,270,870,287
0500000US53061,53061,"Snohomish County, Washington",257492,2701,10857,1780,7324,1239,8479,1476,10200,1408,11445,1550,11215,1467,11810,1781,11489,1948,10325,1660,23218,2219,34607,3015,39351,2716,28611,3086,16029,1725,13501,1767,9031,1329
0500000US53063,53063,"Spokane County, Washington",180645,2404,14448,1616,10079,1387,9743,1350,12159,1852,11920,1699,10734,1261,9038,1366,9350,1505,8828,1285,16484,1981,21249,2164,22110,1974,11913,1450,4378,783,3418,716,4794,1070
0500000US53067,53067,"Thurston County, Washington",94855,1603,4352,1101,3759,1064,3718,992,5893,1373,4605,1139,5251,1050,4146,1021,4185,927,3622,975,9252,1275,11489,1657,14516,1535,7900,1361,6106,1163,3315,902,2746,826
0500000US53073,53073,"Whatcom County, Washington",75759,2071,6196,1246,5167,1182,3703,950,5358,1276,5162,1064,4487,1027,2924,774,3919,998,2994,809,6095,1122,9340,1686,9157,1447,4602,1057,3724,1100,853,416,2078,655
0500000US53077,53077,"Yakima County, Washington",77682,1384,6033,1347,5515,1157,5406,1395,5142,1295,4654,1081,4707,1135,4912,1214,4143,1048,4418,1089,7512,1347,8105,1263,7280,1120,4951,1183,1885,641,1288,593,1731,634
0500000US54003,54003,"Berkeley County, West Virginia",38167,1203,1687,609,2660,776,2140,764,1565,628,2299,785,3055,1055,992,506,1695,635,1475,518,2651,736,6009,1243,5664,1115,3282,818,1160,541,1014,556,819,411
0500000US54011,54011,"Cabell County, West Virginia",38803,1568,4312,1016,4010,926,3868,1106,3522,937,2909,845,2184,766,1427,533,1714,581,1164,429,3343,747,3139,841,3886,947,1543,575,609,389,599,492,574,337
0500000US54033,54033,"Harrison County, West Virginia",28219,1010,3254,909,3149,796,1770,610,1969,637,1608,500,1630,511,1475,513,1249,513,1581,605,2004,819,2236,700,3054,833,1713,540,899,425,406,281,222,168
0500000US54039,54039,"Kanawha County, West Virginia",82042,2175,7913,1556,5247,1013,5525,1115,6426,1191,6461,1276,4311,846,4047,1241,4833,1014,3532,741,6718,1355,7899,1247,9324,1372,4129,1058,1755,671,1764,533,2158,633
0500000US54061,54061,"Monongalia County, West Virginia",30858,1202,3910,895,1972,623,2120,728,1666,534,1938,479,1350,442,1905,515,1445,439,1648,524,2704,668,3049,822,2644,703,1683,562,933,379,1104,453,787,389
0500000US54081,54081,"Raleigh County, West Virginia",30515,1333,3189,922,2896,770,1988,616,2705,808,1329,553,1365,536,1948,729,1652,719,1227,494,2844,932,4194,955,2748,854,1492,512,377,329,267,232,294,229
0500000US54107,54107,"Wood County, West Virginia",37090,1027,3983,856,3363,827,2441,671,2057,562,1666,741,2049,644,2954,871,1973,576,1805,555,3449,819,4417,1128,3407,660,1642,538,570,269,642,381,672,324
0500000US55009,55009,"Brown County, Wisconsin",95757,1773,6311,1110,4730,939,5117,1002,5683,1279,5143,1174,4691,1043,5182,978,4419,895,4276,835,10006,1484,9882,1085,14033,1590,7622,1206,3673,707,2187,535,2802,830
0500000US55025,55025,"Dane County, Wisconsin",185979,2886,10179,1359,6094,1155,6907,1036,8634,1345,8007,1272,10214,1543,9029,1579,8412,1143,7927,1247,16236,1705,22827,1759,28539,2052,15636,1756,9968,1204,9546,1204,7824,1130
